CUSIP,SEQ,START,COUPON,MARGIN,SIMPNDX,FIRSTRST,CPNFRQ,FORMULA
3130ARYY1,3,2023-05-23,3.5,0.0,0,N/A,S,3.5
3130ARYY1,4,2023-11-23,3.75,0.0,0,N/A,S,3.75
3130ARYY1,5,2024-05-23,4.0,0.0,0,N/A,S,4.0
3130ARYY1,6,2024-11-23,6.0,0.0,0,N/A,S,6.0
3130ARYZ8,1,2022-05-26,4.0,0.0,0,N/A,S,4.0
3130ARZ20,1,2022-05-23,1.95,0.0,0,N/A,S,1.95
3130ARZ38,1,2022-05-18,3.35,0.0,0,N/A,S,3.35
3130ARZ46,1,2022-05-19,3.22,0.0,0,N/A,S,3.22
3130ARZ53,1,2022-05-26,3.0,0.0,0,N/A,S,3.0
3130ARZ53,2,2023-05-26,4.0,0.0,0,N/A,S,4.0
3130ARZ53,3,2024-05-26,5.0,0.0,0,N/A,S,5.0
3130ARZ61,1,2022-05-18,2.25,0.0,0,N/A,S,2.25
3130ARZ79,1,2022-05-25,2.55,0.0,0,N/A,S,2.55
3130ARZ87,1,2022-05-26,3.0,0.0,0,N/A,S,3.0
3130ARZ87,2,2023-11-26,6.0,0.0,0,N/A,S,6.0
3130ARZ95,1,2022-05-24,2.7,0.0,0,N/A,S,2.7
3130ARZA2,1,2022-05-17,1.8,0.0,0,N/A,S,1.8
3130AS5U9,1,2022-05-27,3.1,0.0,0,N/A,S,3.1
3130AS5V7,1,2022-06-09,3.0,0.0,0,N/A,S,3.0
3130AS5W5,1,2022-06-14,3.7,0.0,0,N/A,S,3.7
3130AS5X3,1,2022-05-26,3.125,0.0,0,N/A,S,3.125
3130AS5Y1,1,2022-06-15,2.375,0.0,0,N/A,S,2.375
3130AS5Z8,1,2022-06-13,3.2,0.0,0,N/A,S,3.2
3130AS6A2,1,2022-06-09,3.0,0.0,0,N/A,S,3.0
3130AS6B0,1,2022-05-23,2.0,0.0,0,N/A,S,2.0
3130AS6B0,2,2022-11-23,2.5,0.0,0,N/A,S,2.5
3130AS6C8,1,2022-05-23,1.738,0.0,0,N/A,S,1.738
3130AS6D6,1,2022-06-14,2.875,0.0,0,N/A,S,2.875
3130AS6E4,1,2022-05-23,4.0,0.0,0,N/A,S,4.0
3130AS6F1,1,2022-05-26,2.22,0.0,0,N/A,S,2.22
3130AS6G9,1,2022-05-18,1.72,0.0,0,N/A,S,1.72
3130AS6H7,1,2022-06-15,2.85,0.0,0,N/A,S,2.85
3130AS6J3,1,2022-05-18,1.67,0.0,0,N/A,B,1.67
3130AS6K0,1,2022-06-13,2.5,0.0,0,N/A,S,2.5
3130AS6L8,1,2022-05-26,2.75,0.0,0,N/A,S,2.75
3130AS6M6,1,2022-06-13,3.0,0.0,0,N/A,S,3.0
3130AS6M6,2,2023-12-13,4.0,0.0,0,N/A,S,4.0
3130AS6N4,1,2022-06-06,3.25,0.0,0,N/A,S,3.25
3130AS6P9,1,2022-06-09,4.75,0.0,0,N/A,S,4.75
3130AS6Q7,1,2022-06-07,3.25,0.0,0,N/A,S,3.25
3130AS6R5,1,2022-05-26,1.8,0.0,0,N/A,Q,1.8
3130AS6R5,2,2022-08-26,2.3,0.0,0,N/A,Q,2.3
3130AS6R5,3,2022-11-26,2.8,0.0,0,N/A,Q,2.8
3130AS6S3,1,2022-06-14,2.5,0.0,0,N/A,S,2.5
3130AS6S3,2,2023-06-14,4.0,0.0,0,N/A,S,4.0
3130AS6T1,1,2022-06-14,3.35,0.0,0,N/A,S,3.35
3130AS6U8,1,2022-05-24,2.6,0.0,0,N/A,S,2.6
3130AS6V6,1,2022-05-24,2.45,0.0,0,N/A,S,2.45
3130AS6W4,1,2022-06-09,3.25,0.0,0,N/A,S,3.25
3130AS6X2,1,2022-06-09,3.15,0.0,0,N/A,S,3.15
3130AS6Y0,1,2022-06-09,3.3,0.0,0,N/A,S,3.3
3130AS6Z7,1,2022-06-13,3.0,0.0,0,N/A,S,3.0
3130ASAF6,1,2022-05-25,2.895,0.0,0,N/A,S,2.895
3130ASAG4,1,2022-05-27,2.5,0.0,0,N/A,S,2.5
